,text,setiment
0,"['ngoc', 'pham', 'a', 'year', 'old', 'vietnamese', 'man', 'one', 'two', 'asian', 'seniors', 'attacked', 'perpetrator', 'yesterday', 'he', 'survived', 'years', 'vietnamese', 'concentration', 'camp', 'assaulted', 'grocery', 'shopping', 'his', 'son', 'asked', 'us', 'get', 'story']",negative
1,"['i', 'making', 'following', 'announcement', 'formal', 'apology', 'today', 'sincerely', 'appreciate', 'support', 'i', 'received', 'thus', 'far', 'depend', 'coming', 'days']",positive
2,"['the', 'aggressive', 'field', 'operation', 'california', 'sanders', 'also', 'devoting', 'outsized', 'resources', 'building', 'support', 'among', 'california', 'latinos', 'via']",positive
3,"['thank', 'supervisor', 'aaron', 'peskin', 'endorsing', 'senator', 'sanders', 'early', 'bernie']",positive
4,"['tbt', 'sharing', 'meal', 'friend', 'wishing', 'luck', 'enters', 'final', 'week', 'race', 'india', 'prime', 'minister', 'bjp']",positive
5,"['glad', 'know', 'one', 'reporter', 'homework']",positive
6,"['i', 'saw', 'report', 'reputation', 'aaron', 'schock', 'missing', 'i', 'called', 'cell', 'phone', 'answered', 'missing']",neutral
7,"['obama', 'claimed', 'raise', 'family', 'may', 'richeza', 'mieszko']",negative
8,"['i', 'seen', 'best', 'worst', 'legal', 'system', 'america', 'k', 'billing', 'attorney', 'fiduciary', 'responsibility', 'campaign', 'glad', 'd', 'o', 'j', 'spent', 'much', 'time', 'estimated', 'mileage', 'statements', 'let', 'us', 'see', 'theft', 'out', 'east', 'republican', 'wants', 'capitalize', 'president', 'popularity', 'district', 'put', 'check', 'calls', 'big', 'spending', 'liberal', 'democrats']",negative
9,"['awesome', 'hosting', 'stephen', 'at', 'home', 'tonight', ""'s"", 'kennedy', 'center', 'honors', 'bruno', 'mars', 'weber', 'among', 'tributes']",positive
10,"['i', 'call', 'one', 'a', 'retired', 'union', 'pipefitter', 'welder', 'retired', 'public', 'school', 'secretary', 'walk', 'youngest', 'daughter', 'congressional', 'office', 'my', 'first', 'visitors']",neutral
11,"['i', 'tell', 'every', 'foreign', 'diplomat', 'intel', 'officer', 'posted', 'united', 'states', 'surely', 'writing', 'cables', 'back', 'home', 'tonight', 'fragility', 'america', 'democracy', 'depravity', 'president', 'part', 'i']",negative
12,"['hope', 'hicks', 'one', 'best', 'known', 'least', 'visible', 'former', 'members', 'president', 'trump', 'white', 'house', 'staff', 'facing', 'existential', 'question', 'whether', 'comply', 'congressional', 'subpoena', 'i', 'x']",neutral
13,"['i', 'tell', 'every', 'foreign', 'diplomat', 'intel', 'officer', 'posted', 'united', 'states', 'surely', 'writing', 'cables', 'back', 'home', 'tonight', 'fragility', 'america', 'democracy', 'depravity', 'president', 'part', 'i']",negative
14,"['hope', 'hicks', 'one', 'best', 'known', 'least', 'visible', 'former', 'members', 'president', 'trump', 'white', 'house', 'staff', 'facing', 'existential', 'question', 'whether', 'comply', 'congressional', 'subpoena', 'i', 'x']",neutral
